"stars","funny","useful","cool","user_cool","characters","user_average_stars","biz_review_count","user_useful","user_funny","biz_open","biz_stars","words","user_review_count","year","mday","month","wdaySun1","isWeekend"
4,0,0,0,1,759,4.5,129,2,0,1,4,133,4,2012,9,9,1,1
4,0,0,0,2,1238,3.75,9,29,4,1,2.5,229,26,2012,21,2,3,0
4,1,1,2,304,738,3.73,36,371,366,1,4,129,229,2009,22,3,1,1
3,4,6,5,1875,194,3.39,90,2291,1860,1,3.5,30,186,2012,5,4,5,0
4,0,0,0,2202,536,3.63,7,2575,1614,1,3,99,569,2011,2,5,2,0
3,0,1,0,0,547,3,168,1,0,1,4,106,1,2012,4,4,4,0
3,0,1,0,54,938,4.14,20,103,52,1,4,164,35,2012,26,4,5,0
5,0,0,0,1,165,3.15,65,12,1,1,5,28,13,2011,22,12,5,0
2,2,4,1,267,1347,3.6,26,384,243,1,2,264,286,2012,2,5,4,0
1,0,0,0,23,1353,3.58,54,79,34,0,3.5,239,31,2011,12,2,7,1
2,0,1,0,21,189,4.19,13,62,33,1,4,39,27,2012,30,9,1,1
3,0,0,0,6,1803,3.44,135,9,19,0,4,326,18,2009,15,10,5,0
4,0,2,2,35,1396,3.75,146,53,14,1,3,254,24,2007,18,5,6,0
2,0,0,0,117,731,3.42,57,408,93,1,4,133,422,2011,11,5,4,0
3,1,1,2,0,670,0,145,0,0,1,3.5,118,0,2009,7,10,4,0
3,0,0,0,740,425,3.68,19,1175,651,1,4,74,518,2009,15,11,1,1
3,0,0,0,14,415,3.94,25,36,11,1,3.5,78,51,2010,15,10,6,0
3,2,2,1,24,134,3.97,3,35,12,1,3,25,29,2010,5,12,1,1
5,0,1,0,3,2056,3.71,7,19,3,1,5,407,14,2012,7,6,5,0
5,2,3,3,400,1994,3.69,333,656,291,1,4.5,371,308,2011,15,5,1,1
4,0,0,1,0,103,0,144,0,0,1,4,19,0,2011,26,6,1,1
5,0,0,0,30,662,3.86,461,107,24,1,4,124,102,2010,2,11,3,0
5,2,5,3,2932,689,3.63,6,4148,2382,1,5,131,578,2011,18,8,5,0
4,0,0,0,0,537,0,7,0,0,1,3.5,96,0,2011,13,9,3,0
4,0,1,0,30,142,3.86,122,101,28,1,3.5,25,50,2009,21,7,3,0
4,0,0,0,740,424,3.68,12,1175,651,1,4,79,518,2010,1,1,6,0
3,0,0,0,0,222,3.75,19,14,0,1,4,38,9,2011,3,11,5,0
2,3,5,2,46,1279,3.24,104,92,28,1,3.5,239,34,2010,18,12,7,1
5,0,1,0,45,1806,3.79,358,63,67,1,4,326,33,2012,19,3,2,0
5,0,0,0,6,773,3.46,11,25,10,1,3,138,29,2011,2,9,6,0
5,0,0,0,0,28,0,121,0,0,1,3.5,5,0,2012,30,12,1,1
3,2,1,1,436,309,3.84,18,574,346,1,4,55,124,2011,22,12,5,0
3,0,3,0,16,860,3.48,56,32,10,1,3,181,25,2007,30,5,4,0
5,1,1,1,5,284,3.17,162,33,3,0,4,58,6,2012,13,12,5,0
3,1,4,2,27,1563,3.71,26,71,17,0,3.5,303,73,2009,23,7,5,0
4,18,7,4,1074,1033,3.71,37,1299,1105,1,2.5,194,350,2008,16,6,2,0
4,2,3,2,7,683,4.3,67,7,2,1,4,117,10,2007,24,9,2,0
1,2,1,1,86,198,4.13,278,173,45,1,4.5,36,95,2009,1,10,5,0
4,2,0,0,12,1144,3.28,281,44,31,1,4,197,32,2011,20,5,6,0
5,2,2,2,453,1527,4.07,25,516,400,0,4,286,112,2009,18,2,4,0
5,0,1,1,25,485,3.67,138,71,32,1,3.5,100,75,2011,14,8,1,1
3,0,3,1,64,735,3.95,441,107,35,1,4,137,56,2011,17,4,1,1
3,1,2,1,35,1762,3.46,110,148,46,1,3.5,315,79,2011,6,11,1,1
1,5,12,4,409,1345,3.55,304,629,253,1,4,244,159,2010,8,2,2,0
4,0,1,0,8,512,3.7,10,43,6,1,4,92,30,2011,20,8,7,1
3,0,0,0,12,1624,2.79,35,55,24,1,4,299,66,2011,1,1,7,1
4,1,2,2,0,1349,0,122,0,0,1,3.5,260,0,2010,1,8,1,1
4,0,2,1,214,313,4.04,50,387,77,1,4.5,50,130,2010,5,8,5,0
5,0,1,1,2,937,4.33,93,3,0,1,4,165,6,2011,20,10,5,0
3,0,1,1,19,1547,4.2,157,24,7,1,4,277,5,2008,19,2,3,0
3,0,1,0,0,1824,3.5,115,11,6,1,4,327,14,2012,26,5,7,1
2,0,0,0,0,347,1.5,10,0,0,1,4,66,2,2012,28,9,6,0
4,0,0,0,80,1503,3.85,477,213,46,1,4.5,276,137,2011,20,11,1,1
3,1,4,2,451,1012,4.06,39,521,260,1,3,188,163,2008,4,10,7,1
5,0,0,0,21,447,4.19,10,57,12,1,4,86,47,2011,12,9,2,0
1,2,1,1,303,474,3.6,4,536,262,1,2.5,87,278,2012,10,8,6,0
3,0,0,0,20,786,2.79,54,96,22,1,4,148,52,2011,19,5,5,0
3,0,0,0,2,242,3.55,36,13,1,1,4,45,29,2012,10,3,7,1
3,1,1,0,2,137,3.29,108,43,3,1,3.5,25,34,2011,12,4,3,0
3,1,1,1,0,473,0,60,0,0,1,4,81,0,2009,7,4,3,0
2,0,0,0,19,182,3.99,3,60,15,1,4,34,95,2012,4,12,3,0
5,0,1,0,34,937,3.94,116,114,39,1,4,168,68,2011,6,6,2,0
4,3,4,2,42,1203,3.93,54,48,15,1,4,217,14,2008,26,8,3,0
5,1,2,1,664,721,4.44,59,743,480,0,4,140,215,2011,22,10,7,1
5,0,0,0,2,208,5,652,5,1,1,4,38,7,2010,1,9,4,0
5,0,0,0,1,269,4,7,8,3,1,3.5,49,10,2011,19,5,5,0
4,0,0,0,0,168,3.5,251,4,0,0,4,32,4,2010,5,12,1,1
5,0,0,0,4,1233,3.8,42,11,4,1,3,226,10,2012,29,7,1,1
5,2,3,3,42,660,3.93,130,48,15,1,4,134,14,2008,12,9,6,0
4,1,0,1,190,865,3.83,81,283,101,1,3.5,166,107,2008,2,11,1,1
4,0,1,1,6,309,4.62,135,20,5,0,4,49,9,2009,14,10,4,0
4,0,0,0,119,275,3.42,17,209,97,1,4,50,110,2010,25,7,1,1
3,0,3,1,502,218,3.65,63,1224,530,0,3,41,310,2011,18,10,3,0
4,0,4,0,2,591,3.59,90,20,1,1,4,103,22,2012,31,3,7,1
3,0,0,0,8,918,3.75,3,28,6,1,2.5,162,28,2012,3,8,6,0
4,2,2,0,84,912,3.28,24,231,100,1,4.5,152,142,2011,1,7,6,0
5,0,0,0,4,44,2.85,243,25,5,1,4,8,27,2012,26,10,6,0
3,0,0,0,1,708,3.14,21,2,3,1,3.5,135,9,2011,4,6,7,1
3,0,0,0,647,1119,3.76,18,977,470,1,2.5,216,753,2011,1,12,5,0
4,2,4,5,1180,769,3.96,165,1434,1072,1,3.5,133,272,2009,4,8,3,0
1,0,1,0,0,539,3,3,1,0,1,2,98,3,2011,16,6,5,0
4,0,1,1,834,542,3.78,6,1447,578,1,4.5,101,479,2010,5,8,5,0
3,0,0,0,52,876,3.44,5,204,79,1,3,158,215,2010,15,1,6,0
5,0,0,0,0,180,5,28,3,1,1,4,33,6,2011,7,12,4,0
3,1,1,1,246,1125,3.8,26,415,172,0,3.5,204,90,2008,13,8,4,0
4,0,0,0,5,223,3.72,122,13,4,1,3.5,42,25,2011,24,7,1,1
5,0,1,1,15,618,3.97,450,21,10,1,4.5,106,65,2012,11,5,6,0
1,0,1,0,0,404,1,6,1,0,1,1.5,78,1,2012,22,11,5,0
5,1,3,4,554,112,3.81,21,826,487,1,3.5,20,425,2009,4,5,2,0
4,0,1,0,37,483,4.21,36,152,28,1,4,93,144,2012,13,6,4,0
2,2,2,0,44,400,3.95,6,140,39,1,3.5,73,115,2012,26,12,4,0
3,3,8,2,502,443,3.65,132,1224,530,1,3,78,310,2010,7,11,1,1
4,11,13,13,3943,2921,3.74,22,4287,3969,0,4,519,417,2010,24,2,4,0
5,0,1,0,3,283,3.76,3,27,2,1,4.5,56,33,2012,8,9,7,1
4,0,2,1,7,474,3.67,94,23,4,1,4,85,12,2010,26,7,2,0
5,0,1,0,1,270,4.33,100,13,0,1,3.5,49,9,2012,3,7,3,0
3,0,1,0,26,1357,3.28,117,99,26,0,3.5,253,107,2010,9,7,6,0
4,0,0,0,7,214,4.1,46,17,4,1,3.5,42,51,2012,21,6,5,0
2,1,4,0,4,162,3.73,97,16,7,1,3.5,29,18,2012,20,4,6,0
5,1,0,0,62,1075,3.72,15,172,35,1,4.5,196,142,2012,27,8,2,0
2,0,0,0,7,423,3.95,283,29,5,1,4,81,21,2012,31,3,7,1
1,1,1,0,1876,1043,3.44,4,2523,1569,0,3.5,188,574,2008,5,11,4,0
1,0,1,0,18,354,3.34,41,41,8,1,3,69,300,2011,12,3,7,1
3,0,1,1,189,968,3.71,33,442,181,1,4,172,247,2009,25,5,2,0
3,0,0,0,55,889,3.95,264,142,24,1,3.5,165,132,2010,5,4,2,0
5,0,0,0,0,253,5,71,3,1,1,3.5,49,3,2012,8,10,2,0
5,0,0,0,3,532,4.29,136,5,4,1,4.5,95,7,2012,31,8,6,0
4,0,0,0,44,133,3.84,80,115,56,1,4,29,136,2010,2,2,3,0
4,0,1,1,69,272,3.34,78,181,62,1,4,46,148,2009,24,5,1,1
2,0,0,0,3,1457,3.48,13,19,6,1,2.5,258,31,2011,30,11,4,0
5,2,0,2,1930,1220,3.88,16,1824,1684,1,3.5,227,720,2010,11,10,2,0
4,0,0,0,115,251,3.85,74,236,118,0,4,42,386,2011,9,3,4,0
5,0,1,1,172,885,4.07,803,327,52,1,4,163,400,2009,6,12,1,1
4,0,0,0,0,792,4,65,0,0,1,3.5,146,1,2011,24,7,1,1
5,0,0,0,0,968,4.2,735,3,3,1,4.5,188,5,2012,3,10,4,0
5,0,0,0,0,534,0,453,0,0,1,4,103,0,2012,11,12,3,0
2,0,7,0,12,1225,3.15,35,73,15,1,4.5,217,53,2012,12,1,5,0
4,0,2,0,0,523,4,74,2,0,1,3.5,94,1,2012,10,3,7,1
5,0,0,0,2,369,3.85,16,9,1,1,4.5,64,33,2012,19,9,4,0
5,1,5,3,412,935,3.97,32,620,459,1,4.5,162,151,2012,5,2,1,1
3,0,0,0,41,1316,3.35,73,242,37,1,3.5,249,198,2012,1,1,1,1
3,0,1,0,427,347,4,55,791,276,1,2.5,71,411,2010,9,1,7,1
5,0,0,0,2,2043,4.67,3,3,2,1,5,369,6,2012,9,12,1,1
4,1,2,1,87,1472,4.32,55,244,92,1,3.5,271,114,2012,25,5,6,0
3,1,1,1,133,515,3.87,6,201,120,1,3,94,135,2008,14,11,6,0
5,0,1,0,12,380,3.36,29,21,12,1,3.5,64,11,2009,22,12,3,0
2,1,0,0,67,878,3.33,81,147,101,1,3.5,175,99,2010,3,3,4,0
4,10,1,1,552,1125,3.81,6,565,1415,1,4,212,253,2012,1,12,7,1
4,0,3,0,934,821,3.94,29,1280,892,1,4,155,632,2011,14,3,2,0
5,0,1,0,0,503,4.6,194,6,0,1,4,89,5,2011,31,3,5,0
3,0,0,0,4,235,3.94,79,58,2,1,3.5,44,47,2012,4,3,1,1
4,1,2,1,49,1257,4.21,12,65,16,0,4,232,24,2008,16,1,4,0
4,1,1,1,4,573,4.57,441,6,3,1,4,100,32,2012,27,11,3,0
3,0,1,1,136,250,3.78,132,266,130,1,3.5,47,192,2009,10,11,3,0
1,0,2,0,0,505,2.75,3,3,2,1,1,91,4,2012,22,7,1,1
4,0,1,1,230,1901,3.8,6,457,169,1,3.5,342,359,2012,15,3,5,0
1,0,0,0,0,408,1,5,6,1,1,1,81,2,2012,20,9,5,0
4,0,0,0,0,363,4,7,0,0,0,3.5,67,1,2011,27,2,1,1
4,0,1,0,29,1242,4.05,12,81,9,1,3.5,251,56,2011,2,3,4,0
5,0,1,0,0,40,4.17,299,9,1,1,4,6,6,2012,24,6,1,1
3,0,2,2,833,383,3.85,421,1331,395,1,4,74,371,2007,12,11,2,0
1,0,3,2,103,2872,3.17,35,149,70,1,4,534,40,2008,24,7,5,0
4,1,1,1,0,229,0,23,0,0,0,3.5,41,0,2009,30,3,2,0
3,0,0,0,46,101,3.54,63,148,30,1,3.5,21,180,2009,26,10,2,0
4,1,1,1,21,548,3.97,92,71,17,1,3,101,79,2011,3,5,3,0
3,0,0,1,2,173,3.68,862,16,10,1,3,37,41,2012,14,1,7,1
2,0,0,0,25,1213,2.87,12,110,73,0,3.5,217,47,2010,18,8,4,0
3,0,0,0,2,255,3.37,47,34,4,1,3.5,42,63,2012,18,1,4,0
4,0,1,1,28,372,3.82,160,84,19,1,3.5,73,74,2010,15,9,4,0
5,0,0,0,5,78,4.6,122,25,3,1,3.5,13,25,2009,18,11,4,0
2,0,2,0,21,1459,3.31,30,131,23,1,2.5,286,92,2011,22,5,1,1
5,0,1,1,72,146,4.08,98,136,43,1,4.5,22,163,2007,27,5,1,1
1,2,0,0,0,949,3,549,5,2,1,4,181,3,2009,9,6,3,0
4,1,1,2,17,636,3.75,258,24,8,1,4,120,15,2009,20,3,6,0
4,4,7,5,26,1163,3.58,269,31,16,1,4,230,12,2008,29,10,4,0
5,0,0,0,0,95,0,78,0,0,1,4,19,0,2012,17,9,2,0
2,0,6,0,0,2041,0,28,0,0,1,2.5,395,0,2012,29,2,4,0
1,0,0,0,75,531,3.62,10,180,123,1,2.5,97,105,2010,18,7,1,1
3,0,2,1,119,348,3.42,39,209,97,1,3,64,110,2009,11,1,1,1
4,0,0,0,2,302,4,13,16,2,1,4,57,17,2010,2,4,6,0
4,0,0,0,2,32,4,5,2,1,1,4.5,6,4,2012,17,11,7,1
2,1,4,0,4,2225,3.22,594,26,1,1,4.5,428,9,2012,30,3,6,0
3,0,0,0,221,852,3.8,23,341,247,1,3.5,154,287,2007,22,2,5,0
4,0,2,2,25,922,4,5,32,2,1,3,174,12,2007,9,1,3,0
4,0,0,0,148,107,3.48,72,255,165,1,4,20,98,2012,23,9,1,1
5,0,0,0,4,1275,4.29,212,18,6,1,4.5,246,21,2011,21,1,6,0
5,2,2,0,1,823,4.8,103,3,2,0,4.5,144,6,2011,25,10,3,0
5,0,1,0,0,302,4.8,3,3,0,1,3.5,54,5,2012,18,8,7,1
5,0,0,0,2,186,4.09,74,8,0,1,4,33,11,2010,9,8,2,0
1,0,0,0,0,20,3.67,10,6,0,0,3,4,6,2011,23,6,5,0
2,1,2,1,110,571,3.88,6,159,121,1,3,106,101,2011,26,11,7,1
3,1,1,1,1059,1386,4.42,20,1365,819,1,3.5,253,394,2011,5,11,7,1
2,0,0,0,45,1580,3.81,98,80,14,1,3.5,314,53,2012,16,7,2,0
5,0,0,0,11,181,4,109,47,21,1,4,32,44,2010,7,1,5,0
5,4,6,6,3901,2695,4.29,46,5065,2517,1,4.5,504,670,2011,15,3,3,0
3,0,1,0,42,440,3.04,13,150,43,1,4,82,210,2012,15,5,3,0
4,1,5,5,1074,2689,3.71,84,1299,1105,1,4,493,350,2007,7,1,1,1
3,5,8,3,1727,994,3.53,9,2092,1548,1,3.5,180,215,2012,25,11,1,1
4,0,0,0,6,400,4,52,8,3,1,4,69,16,2012,10,12,2,0
3,2,5,4,1199,1357,3.34,17,1545,593,1,3.5,269,376,2011,3,2,5,0
3,0,1,0,0,417,0,115,0,0,1,4,84,0,2010,8,5,7,1
1,8,11,9,53,711,3,39,52,38,1,3,127,6,2008,2,11,1,1
1,18,27,15,2562,1963,3.65,461,4283,1977,1,4,373,606,2012,19,2,1,1
3,0,0,0,1,122,2,48,3,0,0,4,22,4,2011,9,11,4,0
5,0,0,0,3,283,3.73,77,3,1,1,4,50,11,2012,1,1,1,1
4,1,1,2,7,634,3.89,16,36,6,1,4.5,115,44,2011,3,5,3,0
1,0,1,0,0,2011,0,3,0,0,1,2,398,0,2009,6,6,7,1
4,0,2,0,13,467,3.57,269,68,6,1,4,95,56,2011,20,6,2,0
1,0,0,0,1,1050,2.5,20,6,1,1,3.5,195,11,2011,15,5,1,1
3,5,2,1,195,636,3.88,22,342,130,1,3,116,156,2008,29,2,6,0
3,0,1,0,69,740,3.34,131,181,62,1,4.5,137,148,2012,20,5,1,1
5,0,2,0,7,423,4.04,5,23,2,1,3.5,80,27,2010,19,1,3,0
3,3,2,2,24,617,3.58,202,56,85,1,4,104,45,2010,12,11,6,0
3,5,8,5,1180,1168,3.96,31,1434,1072,0,3,211,272,2010,15,4,5,0
4,0,0,0,1,428,3,55,4,0,1,2.5,82,6,2011,11,12,1,1
5,0,0,1,1,708,3.5,82,1,0,1,4.5,129,2,2011,15,10,7,1
2,0,1,0,3,477,4.25,108,9,0,1,3,99,16,2012,12,6,3,0
1,0,0,0,37,948,3.77,6,76,25,1,2.5,175,39,2012,9,1,2,0
3,0,1,0,0,497,3,122,2,0,1,3.5,93,1,2010,1,6,3,0
4,0,0,0,0,77,0,31,0,0,1,3.5,17,0,2012,1,1,1,1
5,0,1,2,10,564,4.11,131,33,3,1,4.5,86,19,2011,26,6,1,1
3,0,1,0,15,1175,3.58,92,32,10,1,4,221,38,2008,27,5,3,0
4,2,3,4,761,298,3.75,4,873,653,1,4,54,317,2008,23,12,3,0
3,6,8,7,1092,671,3.98,126,1205,1237,1,3,115,211,2010,4,10,2,0
5,0,2,2,7,999,4.14,323,10,1,1,4,177,8,2011,19,6,1,1
2,0,0,0,16,558,3.29,202,40,25,1,4,105,34,2012,26,4,5,0
4,0,1,0,10,191,4,580,32,9,1,4.5,42,24,2010,19,7,2,0
2,0,0,0,22,1076,3.85,16,94,16,1,3.5,197,176,2012,23,6,7,1
3,1,1,1,126,454,3.12,121,251,104,1,3.5,83,166,2010,9,1,7,1
4,0,2,1,247,578,3.47,3,371,268,0,4,109,156,2008,20,7,1,1
3,1,3,3,4322,1316,3.34,19,5504,2672,1,3.5,227,620,2011,28,8,1,1
2,0,1,0,51,314,4.17,140,147,27,0,3,63,212,2011,14,1,6,0
2,0,2,1,43,46,3.07,48,58,39,1,3.5,9,30,2010,6,10,4,0
3,1,1,0,218,1255,3.06,7,551,183,1,4,234,232,2012,28,5,2,0
3,0,1,0,2,177,3.5,42,5,1,1,3,31,9,2011,31,8,4,0
5,1,3,1,30,569,3.92,116,41,27,0,4,111,13,2010,30,1,7,1
4,0,1,0,68,118,4.25,196,116,32,1,3,24,60,2012,9,7,2,0
4,0,1,0,7,125,3.13,89,49,5,1,3.5,25,82,2012,20,3,3,0
4,0,0,0,14,197,3.58,90,77,25,1,3.5,38,83,2011,26,12,2,0
4,0,1,0,0,316,0,124,0,0,1,4,58,0,2011,19,4,3,0
2,1,1,1,502,991,4.16,4,813,412,1,4,184,592,2011,11,4,2,0
3,0,1,0,15,824,3.61,290,71,13,1,3.5,147,85,2011,27,5,6,0
5,6,10,10,1098,2312,3.71,652,1414,738,1,4,413,484,2008,18,9,5,0
4,0,0,0,16,1183,3.83,60,37,4,1,4,217,36,2010,15,1,6,0
4,0,0,0,4,66,3.47,62,24,14,1,3.5,12,43,2012,19,2,1,1
3,1,1,1,546,1256,3.79,10,1098,376,1,2.5,228,791,2012,16,9,1,1
5,0,0,0,3,387,3.84,66,18,3,1,4,80,46,2012,29,7,1,1
5,0,4,0,0,1095,0,9,0,0,1,4.5,195,0,2012,26,2,1,1
3,0,1,1,33,552,3.91,160,132,36,1,4,113,158,2012,23,6,7,1
3,0,1,2,298,473,3.81,229,454,156,1,3.5,82,150,2009,11,1,1,1
5,0,3,0,95,1007,4.29,20,192,51,1,4,173,102,2010,12,12,1,1
1,1,1,1,336,1173,3.45,16,564,308,1,3.5,212,190,2012,22,7,1,1
4,1,1,1,13,548,3.67,803,59,20,1,4,105,135,2012,2,6,7,1
4,0,0,0,0,1078,4.67,16,6,0,1,3.5,213,3,2012,6,9,5,0
4,1,2,2,2342,743,3.9,122,3104,1890,1,3.5,140,479,2008,8,12,2,0
5,0,1,0,169,671,3.83,57,284,158,0,3.5,118,187,2011,4,4,2,0
5,0,0,0,0,248,5,441,0,0,1,4,45,1,2011,22,5,1,1
4,0,0,0,62,501,4.08,20,225,40,1,3.5,87,265,2011,31,10,2,0
1,0,0,0,2,369,1.57,5,10,3,1,3.5,74,7,2011,30,9,6,0
5,0,2,0,72,251,4.08,81,136,43,1,4,44,163,2007,19,5,7,1
1,0,0,0,1,357,1.87,136,8,2,1,3.5,72,15,2009,29,6,2,0
3,0,0,0,61,597,3.52,128,233,76,1,3.5,114,204,2012,2,4,2,0
4,0,0,0,22,591,4.06,6,43,11,1,3,108,18,2011,11,11,6,0
1,1,2,2,43,1948,4.01,59,131,26,0,3,379,85,2010,7,4,4,0
5,1,2,2,606,484,3.71,4,898,494,1,5,86,199,2009,30,7,5,0
1,1,0,0,50,1756,3.77,3,125,65,1,3,330,59,2009,22,4,4,0
4,0,0,0,29,324,3.26,90,129,43,1,4,64,142,2011,19,5,5,0
5,1,1,1,121,1707,3.6,66,135,104,1,4,299,40,2010,16,9,5,0
5,0,1,0,2,297,3.46,10,15,9,1,5,52,26,2010,4,12,7,1
4,0,2,0,489,65,4.03,179,773,341,1,4,11,350,2012,8,5,3,0
4,0,1,0,0,49,0,188,0,0,1,4,7,0,2012,10,7,3,0
4,0,1,1,48,2113,3.43,122,101,51,1,3.5,397,70,2008,13,7,1,1
3,0,0,0,26,2942,3.67,136,83,16,1,4,528,42,2011,19,5,5,0
4,3,6,5,965,1379,3.59,689,1096,702,1,4,270,305,2010,31,12,6,0
5,0,0,0,0,492,3.57,7,5,0,1,4.5,97,9,2012,15,8,4,0
5,3,4,2,26,631,4.33,11,33,19,1,4.5,111,7,2011,31,3,5,0
4,0,1,1,100,577,3.66,15,251,61,1,4.5,105,220,2011,19,4,3,0
5,1,1,1,1,720,5,6,2,1,1,5,128,1,2011,30,6,5,0
5,0,0,0,1,69,4.38,103,5,1,1,4,11,29,2012,1,12,7,1
4,2,2,2,352,2672,3.76,307,549,299,1,4,474,493,2012,19,3,2,0
4,0,1,1,0,440,0,214,0,0,1,3.5,73,0,2012,21,2,3,0
2,0,0,0,1,1157,2.5,79,6,2,1,3,228,8,2011,25,12,1,1
3,0,0,1,207,684,3.62,4,290,166,1,4,130,117,2010,27,3,7,1
4,0,1,0,8,1715,3.5,68,28,4,1,3,319,18,2010,28,5,6,0
2,0,1,0,0,498,3.67,162,3,2,1,4,87,12,2011,20,5,6,0
3,0,0,0,30,88,3.36,28,116,46,1,3.5,19,137,2011,17,10,2,0
3,0,0,0,17,175,3.55,59,41,17,1,3.5,33,38,2010,23,10,7,1
4,0,2,0,96,651,3.57,28,240,53,1,3.5,111,131,2007,23,8,5,0
1,0,1,0,0,735,2.6,7,5,0,1,3,138,5,2012,11,9,3,0
5,0,0,0,0,184,5,4,0,0,1,3,35,1,2012,17,7,3,0
5,0,0,0,1,258,5,29,11,2,1,5,53,12,2011,4,12,1,1
4,1,2,1,674,481,3.63,27,1105,590,1,3.5,97,575,2009,5,12,7,1
2,3,2,1,281,730,3.62,33,302,247,0,3.5,128,102,2009,24,3,3,0
3,0,0,0,7,450,4.06,83,35,7,1,4,82,66,2012,21,11,4,0
1,1,0,0,0,240,1,76,1,2,1,4,43,1,2012,6,3,3,0
1,0,0,0,0,1533,1.57,4,9,1,1,4,294,9,2012,15,5,3,0
3,0,1,1,180,3041,3.65,444,275,132,1,4,577,168,2009,16,11,2,0
1,5,7,4,308,2260,3.84,138,438,285,1,3,401,81,2010,14,10,5,0
2,0,2,0,31,900,3.4,12,89,94,1,4,169,114,2010,14,6,2,0
4,0,2,2,1425,880,3.73,42,1699,1159,1,3,168,555,2007,23,6,7,1
4,3,2,2,429,325,3.6,862,497,423,1,3,57,241,2011,6,9,3,0
4,0,0,0,263,392,4.08,55,428,263,1,3,80,221,2011,20,9,3,0
2,2,0,0,61,364,3.66,6,156,87,1,2.5,65,207,2011,29,1,7,1
5,0,0,0,0,201,5,6,0,0,1,4.5,36,1,2012,26,9,4,0
5,0,0,0,3,593,3.67,63,21,6,1,4,113,12,2009,19,3,5,0
3,0,0,0,4,307,3.73,112,10,1,1,2.5,62,16,2010,5,9,1,1
4,2,2,3,796,590,4.07,9,1085,589,1,3.5,115,352,2007,17,10,4,0
5,0,0,0,12,393,4.31,55,32,2,1,4.5,67,35,2009,10,5,1,1
4,0,0,1,54,384,3.79,652,145,64,1,4,75,73,2011,11,6,7,1
4,0,0,0,110,547,3.6,5,208,96,1,2,107,122,2009,11,9,6,0
4,0,0,0,3,286,4,124,5,3,1,3.5,54,20,2012,17,10,4,0
4,0,0,0,22,259,4.05,170,37,7,1,3.5,47,42,2009,27,3,6,0
4,0,1,3,233,456,4.14,198,310,94,1,3,84,156,2007,15,12,7,1
5,11,4,7,596,847,3.8,180,537,609,1,4,153,50,2009,18,8,3,0
5,0,3,3,52,492,3.82,652,81,35,1,4,90,71,2008,28,8,5,0
2,1,0,1,0,511,0,38,0,0,1,3.5,100,0,2010,9,7,6,0
5,0,1,1,8,282,4,7,14,0,1,5,43,8,2012,4,1,4,0
4,0,1,0,2,125,4.26,271,8,2,1,4,22,20,2010,23,6,4,0
